Time Elapsed, motor.Pos, motor.Temp, motor.W, motor.T, motor.MError
0.0208836,2149.57,27,9.69478,0.296875,0,
0.0227473,2149.57,27,9.69478,0.296875,0,
0.0434593,2150.05,27,21.0831,0.0820312,0,
0.0447015,2150.05,27,21.0831,0.0820312,0,
0.0662617,2150.05,27,21.0831,0.0820312,0,
0.0872376,2151.06,27,22.4821,0.0546875,0,
0.0887214,2151.06,27,22.4821,0.0546875,0,
0.109459,2151.53,27,21.3776,0.0703125,0,
0.110656,2151.53,27,21.3776,0.0703125,0,
0.13145,2152,27,21.5985,0.0898438,0,
0.132652,2152,27,21.5985,0.0898438,0,
0.153422,2152.46,27,21.1567,0.0859375,0,
0.154657,2152.46,27,21.1567,0.0859375,0,
0.175455,2152.92,27,20.7395,0.0898438,0,
0.176726,2152.92,27,20.7395,0.0898438,0,
0.197501,2153.37,27,20.4204,0.0820312,0,
0.198741,2153.37,27,20.4204,0.0820312,0,
0.219491,2153.81,27,20.1013,0.101562,0,
0.220731,2153.81,27,20.1013,0.101562,0,
0.241487,2154.25,27,20.2486,0.117188,0,
0.24274,2154.25,27,20.2486,0.117188,0,
0.263493,2154.68,27,19.8314,0.105469,0,
0.264739,2154.68,27,19.8314,0.105469,0,
0.285488,2155.12,27,19.8804,0.105469,0,
0.286753,2155.12,27,19.8804,0.105469,0,
0.307525,2155.55,27,19.4877,0.109375,0,
0.308745,2155.55,27,19.4877,0.109375,0,
0.329501,2155.98,27,19.3896,0.109375,0,
0.330755,2155.98,27,19.3896,0.109375,0,
0.351503,2156.4,27,19.2914,0.117188,0,
0.352748,2156.43,27,19.4141,0.117188,0,
0.354724,2156.43,27,19.4141,0.117188,0,
0.375611,2156.86,27,19.1441,0.125,0,
0.376713,2156.86,27,19.1441,0.125,0,
0.397751,2156.86,27,19.1441,0.125,0,
0.418745,2156.86,27,19.1441,0.125,0,
0.439508,2158.06,27,18.9478,0.125,0,
0.440761,2158.08,27,18.8987,0.125,0,
0.442763,2158.08,27,18.8987,0.125,0,
0.463703,2158.5,27,18.6042,0.140625,0,
0.464735,2158.5,27,18.6042,0.140625,0,
0.48548,2158.9,27,18.3096,0.140625,0,
0.486725,2158.9,27,18.3096,0.140625,0,
0.507481,2159.3,27,18.5305,0.140625,0,
0.508727,2159.3,27,18.5305,0.140625,0,
0.529481,2159.71,27,18.3096,0.140625,0,
0.530728,2159.71,27,18.3096,0.140625,0,
0.551484,2160.11,27,18.6532,0.125,0,
0.552727,2160.11,27,18.6532,0.125,0,
0.573499,2160.51,27,18.3833,0.132812,0,
0.574716,2160.51,27,18.3833,0.132812,0,
0.595482,2160.92,27,18.4324,0.125,0,
0.596737,2160.92,27,18.4324,0.125,0,
0.617506,2161.33,27,18.5305,0.125,0,
0.618739,2161.33,27,18.5305,0.125,0,
0.639484,2161.74,27,18.7269,0.132812,0,
0.640737,2161.74,27,18.7269,0.132812,0,
0.661497,2162.15,27,19.0459,0.132812,0,
0.662742,2162.15,27,19.0459,0.132812,0,
0.683497,2162.56,27,18.7023,0.132812,0,
0.684745,2162.56,27,18.7023,0.132812,0,
0.705493,2162.98,27,19.2423,0.125,0,
0.706681,2162.98,27,19.2423,0.125,0,
0.727497,2163.4,27,19.2914,0.125,0,
0.728679,2163.4,27,19.2914,0.125,0,
