Time Elapsed, motor.Pos, motor.Temp, motor.W, motor.T, motor.MError
0.0207278,13491.2,28,33.944,0.9375,0,
0.0222052,13491.2,28,33.944,0.9375,0,
0.0447884,13493,28,75.2266,0.214844,0,
0.0461783,13493,28,75.2266,0.214844,0,
0.068233,13493,28,75.2266,0.214844,0,
0.0902319,13493,28,75.2266,0.214844,0,
0.110943,13498.2,28,75.4229,0.136719,0,
0.112098,13498.2,28,75.4229,0.136719,0,
0.13281,13499.8,28,74.4166,0.152344,0,
0.134162,13499.8,28,74.4166,0.152344,0,
0.156616,13501.6,28,73.7294,0.164062,0,
0.158163,13501.6,28,73.7294,0.164062,0,
0.180177,13501.6,28,73.7294,0.164062,0,
0.202171,13501.6,28,73.7294,0.164062,0,
0.222927,13506.6,28,75.742,0.121094,0,
0.224084,13506.6,28,75.742,0.121094,0,
0.244807,13508.2,28,76.282,0.125,0,
0.246167,13508.2,28,76.282,0.125,0,
0.268167,13508.2,28,76.282,0.125,0,
0.288929,13511.7,28,78.4664,0.0820312,0,
0.290105,13511.7,28,78.4664,0.0820312,0,
0.310972,13513.4,28,79.2763,0.0429688,0,
0.312182,13513.5,28,80.0372,0.0429688,0,
0.314118,13513.5,28,80.0372,0.0429688,0,
0.334986,13515.4,28,82.1234,0.00390625,0,
0.336113,13515.4,28,82.1234,0.00390625,0,
0.356963,13517.2,28,82.8597,-0.00390625,0,
0.358126,13517.2,28,82.8597,-0.00390625,0,
0.378883,13519,28,83.6696,-0.0273438,0,
0.380304,13519.1,28,84.8723,-0.0351562,0,
0.38212,13519.1,28,84.8723,-0.0351562,0,
0.402886,13521,28,83.007,0,0,
0.40408,13521,28,83.007,0,0,
0.424804,13522.8,28,83.3751,-0.0273438,0,
0.426142,13522.8,28,83.3751,-0.0273438,0,
0.446951,13524.7,28,83.326,-0.0195312,0,
0.448084,13524.7,28,83.326,-0.0195312,0,
0.468913,13526.5,28,82.2707,-0.0078125,0,
0.470135,13526.5,28,82.2707,-0.0078125,0,
0.490894,13528.3,28,81.3625,0.00390625,0,
0.492188,13528.4,28,81.927,0,0,
0.494124,13528.4,28,81.927,0,0,
0.514981,13530.2,28,80.0617,0.0507812,0,
0.516124,13530.2,28,80.0617,0.0507812,0,
0.536945,13531.9,28,78.2209,0.0742188,0,
0.538185,13531.9,28,78.2209,0.0742188,0,
0.559021,13533.6,28,77.0183,0.117188,0,
0.560152,13533.6,28,77.0183,0.117188,0,
0.581006,13535.3,28,76.7238,0.136719,0,
0.582103,13535.3,28,76.7238,0.136719,0,
0.602816,13537,28,75.4229,0.148438,0,
0.60407,13537,28,75.4229,0.148438,0,
0.624794,13538.6,28,75.5947,0.152344,0,
0.626128,13538.6,28,75.5947,0.152344,0,
0.64694,13540.3,28,74.8339,0.164062,0,
0.648098,13540.3,28,74.8339,0.164062,0,
0.668839,13541.9,28,74.1467,0.171875,0,
0.670072,13541.9,28,74.1467,0.171875,0,
0.690788,13543.5,28,74.6621,0.148438,0,
