Time Elapsed, motor.Pos, motor.Temp, motor.W, motor.T, motor.MError
9e-08,1353.81,27,0.122719,0.00390625,0,
0.00197634,1353.82,27,0.171806,0.316406,0,
0.00387923,1353.82,27,0.171806,0.316406,0,
0.0248322,1354.02,27,9.44934,0.167969,0,
0.0259295,1354.04,27,10.2347,0.171875,0,
0.0278463,1354.04,27,10.2347,0.171875,0,
0.0487279,1354.39,27,15.9289,0.0585938,0,
0.0498738,1354.39,27,15.9289,0.0585938,0,
0.0707085,1354.76,27,16.5425,0.0234375,0,
0.0718367,1354.76,27,16.5425,0.0234375,0,
0.0925946,1355.11,27,15.9289,0.0507812,0,
0.0939242,1355.11,27,15.9289,0.0507812,0,
0.11473,1355.45,27,15.168,0.0820312,0,
0.115905,1355.45,27,15.168,0.0820312,0,
0.137964,1355.45,27,15.168,0.0820312,0,
0.158721,1356.11,27,14.9962,0.0859375,0,
0.159866,1356.11,27,14.9962,0.0859375,0,
0.180618,1356.43,27,14.7753,0.0820312,0,
0.181914,1356.45,27,14.7999,0.0859375,0,
0.183922,1356.45,27,14.7999,0.0859375,0,
0.204703,1356.78,27,14.5299,0.0859375,0,
0.20585,1356.78,27,14.5299,0.0859375,0,
0.226592,1357.09,27,13.9409,0.09375,0,
0.227872,1357.1,27,14.0145,0.0898438,0,
0.229861,1357.1,27,14.0145,0.0898438,0,
0.250718,1357.43,27,14.3336,0.0898438,0,
0.251861,1357.43,27,14.3336,0.0898438,0,
0.272583,1357.73,27,14.2354,0.101562,0,
0.273841,1357.73,27,14.2354,0.101562,0,
0.294592,1358.03,27,13.769,0.105469,0,
0.295902,1358.03,27,13.769,0.105469,0,
0.316931,1358.33,27,13.6218,0.117188,0,
0.317894,1358.33,27,13.6218,0.117188,0,
0.338731,1358.62,27,13.5727,0.101562,0,
0.339864,1358.62,27,13.5727,0.101562,0,
0.360627,1358.92,27,13.4991,0.09375,0,
0.361834,1358.92,27,13.4991,0.09375,0,
0.382538,1359.21,27,13.2782,0.109375,0,
0.383854,1359.21,27,13.2782,0.109375,0,
0.404521,1359.5,27,13.4254,0.105469,0,
0.405833,1359.5,27,13.4254,0.105469,0,
0.426642,1359.8,27,13.3273,0.109375,0,
0.427811,1359.8,27,13.3273,0.109375,0,
0.448534,1360.09,27,13.2045,0.105469,0,
0.449794,1360.09,27,13.2045,0.105469,0,
0.470535,1360.37,27,13.2045,0.109375,0,
0.47179,1360.37,27,13.2045,0.109375,0,
0.492512,1360.66,27,13.0082,0.125,0,
0.493831,1360.66,27,13.0082,0.125,0,
0.514662,1360.95,27,13.0327,0.109375,0,
0.515819,1360.95,27,13.0327,0.109375,0,
0.536544,1361.23,27,13.0327,0.121094,0,
0.537797,1361.23,27,13.0327,0.121094,0,
0.558527,1361.51,27,13.0573,0.117188,0,
0.55986,1361.51,27,13.0573,0.117188,0,
0.58051,1361.8,27,12.9836,0.125,0,
0.581842,1361.8,27,12.9836,0.125,0,
0.602646,1362.08,27,12.91,0.132812,0,
0.603821,1362.08,27,12.91,0.132812,0,
0.62454,1362.36,27,12.64,0.121094,0,
0.625803,1362.36,27,12.64,0.121094,0,
0.646525,1362.63,27,12.5173,0.140625,0,
0.647781,1362.63,27,12.5173,0.140625,0,
0.668522,1362.9,27,12.4191,0.117188,0,
0.669773,1362.9,27,12.4191,0.117188,0,
0.69068,1363.16,27,12.3946,0.132812,0,
0.691824,1363.16,27,12.3946,0.132812,0,
0.712631,1363.43,27,12.1492,0.140625,0,
0.713809,1363.43,27,12.1492,0.140625,0,
0.734527,1363.7,27,12.321,0.125,0,
0.735785,1363.7,27,12.321,0.125,0,
0.756507,1363.97,27,12.2964,0.136719,0,
0.757768,1363.97,27,12.2964,0.136719,0,
0.778567,1364.24,27,12.4191,0.125,0,
0.779852,1364.24,27,12.4191,0.125,0,
0.800647,1364.52,27,12.4191,0.148438,0,
0.801815,1364.52,27,12.4191,0.148438,0,
0.822553,1364.79,27,12.6646,0.117188,0,
0.823796,1364.79,27,12.6646,0.117188,0,
0.844557,1365.06,27,12.4928,0.125,0,
0.845773,1365.06,27,12.4928,0.125,0,
0.866512,1365.33,27,12.3455,0.125,0,
0.867779,1365.33,27,12.3455,0.125,0,
0.88863,1365.61,27,12.9591,0.132812,0,
0.889816,1365.61,27,12.9591,0.132812,0,
0.910618,1365.89,27,12.7627,0.117188,0,
0.91182,1365.89,27,12.7627,0.117188,0,
0.932597,1366.16,27,12.4682,0.121094,0,
