Time Elapsed, motor.Pos, motor.Temp, motor.W, motor.T, motor.MError
0.0208558,2468.07,27,13.9409,0.347656,0,
0.0225448,2468.07,27,13.9409,0.347656,0,
0.0433715,2468.66,27,26.1391,0.101562,0,
0.0445222,2468.66,27,26.1391,0.101562,0,
0.0653473,2469.3,27,28.9862,0.0429688,0,
0.0665242,2469.3,27,28.9862,0.0429688,0,
0.0873683,2469.94,27,29.0107,0.0507812,0,
0.0885142,2469.94,27,29.0107,0.0507812,0,
0.109356,2470.54,27,27.8572,0.0742188,0,
0.110514,2470.54,27,27.8572,0.0742188,0,
0.131355,2471.13,27,27.5135,0.0820312,0,
0.13251,2471.13,27,27.5135,0.0820312,0,
0.153351,2471.71,27,26.949,0.105469,0,
0.154516,2471.71,27,26.949,0.105469,0,
0.175335,2472.29,27,26.63,0.09375,0,
0.176491,2472.29,27,26.63,0.09375,0,
0.197591,2472.87,27,26.36,0.105469,0,
0.198506,2472.87,27,26.36,0.105469,0,
0.21924,2473.43,27,25.8446,0.105469,0,
0.220471,2473.43,27,25.8446,0.105469,0,
0.242534,2473.43,27,25.8446,0.105469,0,
0.263354,2474.56,27,25.5991,0.140625,0,
0.264502,2474.56,27,25.5991,0.140625,0,
0.285341,2475.12,27,25.4028,0.109375,0,
0.286504,2475.12,27,25.4028,0.109375,0,
0.307356,2475.68,27,25.3291,0.121094,0,
0.308501,2475.68,27,25.3291,0.121094,0,
0.329353,2476.23,27,25.3782,0.105469,0,
0.330503,2476.23,27,25.3782,0.105469,0,
0.351341,2476.77,27,24.4947,0.136719,0,
0.3525,2476.77,27,24.4947,0.136719,0,
0.373362,2477.31,27,24.7401,0.136719,0,
0.3745,2477.31,27,24.7401,0.136719,0,
0.395244,2477.84,27,24.2983,0.140625,0,
0.396498,2477.84,27,24.2983,0.140625,0,
0.417373,2478.39,27,24.6419,0.148438,0,
0.418497,2478.39,27,24.6419,0.148438,0,
0.439244,2478.93,27,25.0346,0.121094,0,
0.440498,2478.93,27,25.0346,0.121094,0,
0.461351,2479.47,27,25.0837,0.125,0,
0.462502,2479.51,27,25.2064,0.105469,0,
0.464456,2479.51,27,25.2064,0.105469,0,
0.485195,2480.07,27,25.1819,0.117188,0,
0.486457,2480.07,27,25.1819,0.117188,0,
0.507204,2480.63,27,25.3782,0.125,0,
0.508452,2480.63,27,25.3782,0.125,0,
0.529238,2481.18,27,25.2064,0.132812,0,
0.530454,2481.18,27,25.2064,0.132812,0,
0.551379,2481.74,27,25.3537,0.125,0,
0.552449,2481.74,27,25.3537,0.125,0,
0.573372,2482.31,27,25.7709,0.109375,0,
0.574454,2482.31,27,25.7709,0.109375,0,
0.595368,2482.87,27,25.9673,0.109375,0,
0.596446,2482.87,27,25.9673,0.109375,0,
0.617367,2483.44,27,26.0409,0.117188,0,
0.618453,2483.44,27,26.0409,0.117188,0,
0.639372,2484.01,27,26.0655,0.105469,0,
0.640447,2484.01,27,26.0655,0.105469,0,
0.661371,2484.6,27,26.8509,0.101562,0,
0.662453,2484.6,27,26.8509,0.101562,0,
0.683372,2485.2,27,27.6854,0.0742188,0,
0.684447,2485.2,27,27.6854,0.0742188,0,
0.705371,2485.8,27,27.7344,0.0664062,0,
0.706452,2485.8,27,27.7344,0.0664062,0,
0.727357,2486.41,27,27.8326,0.0703125,0,
0.728431,2486.41,27,27.8326,0.0703125,0,
0.749359,2487.03,27,28.5689,0.0703125,0,
0.750438,2487.03,27,28.5689,0.0703125,0,
0.77137,2487.67,27,29.2807,0.0585938,0,
0.772449,2487.67,27,29.2807,0.0585938,0,
0.793352,2488.31,27,29.5261,0.0351562,0,
0.794435,2488.31,27,29.5261,0.0351562,0,
0.81534,2488.97,27,30.017,0.0351562,0,
0.816443,2488.97,27,30.017,0.0351562,0,
0.837351,2489.62,27,29.6488,0.0273438,0,
0.838448,2489.62,27,29.6488,0.0273438,0,
0.859354,2490.29,27,30.2624,0.0117188,0,
0.860433,2490.29,27,30.2624,0.0117188,0,
0.881359,2490.97,27,30.1888,0.0195312,0,
0.882433,2490.97,27,30.1888,0.0195312,0,
0.903358,2491.68,27,31.4405,0.00390625,0,
0.904426,2491.68,27,31.4405,0.00390625,0,
0.925349,2492.38,27,32.3241,-0.0078125,0,
0.926417,2492.38,27,32.3241,-0.0078125,0,
0.947256,2493.08,27,32.9868,-0.0117188,0,
0.94849,2493.08,27,32.9868,-0.0117188,0,
0.969346,2493.79,27,33.1341,-0.0234375,0,
0.970414,2493.79,27,33.1341,-0.0234375,0,
0.991258,2494.51,27,33.4531,-0.0273438,0,
0.992484,2494.51,27,33.4531,-0.0273438,0,
1.01325,2495.24,27,33.4286,-0.0429688,0,
1.01447,2495.24,27,33.4286,-0.0429688,0,
1.03525,2495.97,27,32.9868,-0.0351562,0,
1.03648,2495.97,27,32.9868,-0.0351562,0,
1.05724,2496.7,27,32.9623,-0.0273438,0,
1.05847,2496.7,27,32.9623,-0.0273438,0,
1.07925,2497.44,27,33.7477,-0.0507812,0,
1.08046,2497.44,27,33.7477,-0.0507812,0,
1.10124,2498.18,27,34.4349,-0.0507812,0,
1.10248,2498.18,27,34.4349,-0.0507812,0,
1.12323,2498.92,27,34.4103,-0.0585938,0,
1.12448,2498.92,27,34.4103,-0.0585938,0,
1.14524,2499.65,27,33.8458,-0.0351562,0,
1.14648,2499.65,27,33.8458,-0.0351562,0,
1.16724,2500.38,27,33.6004,-0.0273438,0,
1.16847,2500.38,27,33.6004,-0.0273438,0,
1.1892,2501.11,27,33.404,-0.0390625,0,
1.19042,2501.11,27,33.404,-0.0390625,0,
1.21122,2501.84,27,32.8395,-0.0273438,0,
1.21247,2501.84,27,32.8395,-0.0273438,0,
1.23321,2502.55,27,32.275,-0.0351562,0,
1.23446,2502.55,27,32.275,-0.0351562,0,
1.25521,2503.26,27,31.9069,-0.0234375,0,
1.25647,2503.26,27,31.9069,-0.0234375,0,
1.27722,2503.97,27,32.1032,-0.0078125,0,
1.27846,2503.97,27,32.1032,-0.0078125,0,
1.29923,2504.66,27,31.6369,0.00390625,0,
1.30046,2504.66,27,31.6369,0.00390625,0,
1.32123,2505.34,27,31.1951,0.0234375,0,
1.32247,2505.34,27,31.1951,0.0234375,0,
1.34322,2505.99,27,30.0661,0.0195312,0,
1.34446,2505.99,27,30.0661,0.0195312,0,
1.36522,2506.65,27,29.6734,0.0234375,0,
1.36646,2506.65,27,29.6734,0.0234375,0,
1.38723,2507.31,27,29.6243,0.0390625,0,
1.38844,2507.31,27,29.6243,0.0390625,0,
1.40923,2507.94,27,29.2316,0.0429688,0,
1.41044,2507.94,27,29.2316,0.0429688,0,
1.43123,2508.56,27,28.348,0.0664062,0,
1.43243,2508.56,27,28.348,0.0664062,0,
1.45322,2509.18,27,28.0781,0.0703125,0,
1.45446,2509.18,27,28.0781,0.0703125,0,
1.47522,2509.79,27,27.9062,0.0703125,0,
1.47645,2509.79,27,27.9062,0.0703125,0,
1.49722,2510.4,27,27.5872,0.0820312,0,
1.49846,2510.4,27,27.5872,0.0820312,0,
1.51923,2511,27,27.1454,0.0898438,0,
1.52043,2511,27,27.1454,0.0898438,0,
1.54123,2511.59,27,26.949,0.0898438,0,
1.54244,2511.59,27,26.949,0.0898438,0,
1.56321,2512.17,27,26.4827,0.101562,0,
1.56445,2512.17,27,26.4827,0.101562,0,
1.58522,2512.74,27,26.3845,0.117188,0,
1.58645,2512.74,27,26.3845,0.117188,0,
1.60723,2513.32,27,25.9427,0.117188,0,
1.60844,2513.32,27,25.9427,0.117188,0,
1.62922,2513.88,27,25.7955,0.117188,0,
1.63046,2513.88,27,25.7955,0.117188,0,
1.65122,2514.44,27,25.6482,0.121094,0,
1.65244,2514.44,27,25.6482,0.121094,0,
1.67324,2515,27,25.1328,0.136719,0,
1.67435,2515,27,25.1328,0.136719,0,
1.69509,2515.54,27,25.1083,0.148438,0,
1.69643,2515.54,27,25.1083,0.148438,0,
1.7172,2516.09,27,25.1083,0.140625,0,
1.71845,2516.09,27,25.1083,0.140625,0,
1.74049,2516.67,27,24.9119,0.125,0,
1.74255,2516.72,27,25.1819,0.121094,0,
1.74439,2516.77,27,25.501,0.121094,0,
1.74649,2516.82,27,25.501,0.121094,0,
1.74839,2516.82,27,25.501,0.121094,0,
1.77063,2517.41,27,24.691,0.132812,0,
1.77236,2517.41,27,24.691,0.132812,0,
1.79323,2517.96,27,24.4947,0.132812,0,
1.79433,2517.96,27,24.4947,0.132812,0,
1.81521,2518.51,27,25.0592,0.136719,0,
1.81634,2518.51,27,25.0592,0.136719,0,
1.83718,2519.05,27,24.8874,0.140625,0,
1.83833,2519.05,27,24.8874,0.140625,0,
1.85916,2519.6,27,24.9364,0.136719,0,
1.86032,2519.6,27,24.9364,0.136719,0,
