Time Elapsed, motor.Pos, motor.Temp, motor.W, motor.T, motor.MError
8e-08,7203.1,27,0.147262,0,0,
0.00175854,7203.1,27,0.147262,0,0,
0.0226754,7203.73,27,31.4896,0.625,0,
0.0236898,7203.73,27,31.4896,0.625,0,
0.0446444,7204.98,27,57.1379,0.148438,0,
0.0457981,7204.98,27,57.1379,0.148438,0,
0.0666393,7206.34,27,61.973,0.0429688,0,
0.0677462,7206.34,27,61.973,0.0429688,0,
0.0885112,7207.64,27,59.0523,0.0585938,0,
0.0897176,7207.64,27,59.0523,0.0585938,0,
0.110445,7208.89,27,56.7206,0.132812,0,
0.111696,7208.89,27,56.7206,0.132812,0,
0.132482,7210.13,27,56.8679,0.148438,0,
0.133697,7210.13,27,56.8679,0.148438,0,
0.154426,7211.38,27,56.8924,0.132812,0,
0.155681,7211.46,27,57.1133,0.121094,0,
0.1577,7211.46,27,57.1133,0.121094,0,
0.178455,7212.71,27,55.5916,0.136719,0,
0.179721,7212.71,27,55.5916,0.136719,0,
0.200523,7213.94,27,55.4198,0.15625,0,
0.201712,7213.94,27,55.4198,0.15625,0,
0.222615,7215.16,27,55.0516,0.148438,0,
0.223693,7215.16,27,55.0516,0.148438,0,
0.2446,7216.39,27,56.0088,0.15625,0,
0.245748,7216.39,27,56.0088,0.15625,0,
0.26659,7217.63,27,56.5488,0.140625,0,
0.267769,7217.63,27,56.5488,0.140625,0,
0.288483,7218.87,27,56.7452,0.140625,0,
0.289724,7218.87,27,56.7452,0.140625,0,
0.310475,7220.12,27,57.6042,0.125,0,
0.311708,7220.12,27,57.6042,0.125,0,
0.332457,7221.41,27,58.4878,0.09375,0,
0.333694,7221.41,27,58.4878,0.09375,0,
0.354633,7222.72,27,59.494,0.0898438,0,
0.355677,7222.8,27,59.9113,0.0664062,0,
0.357707,7222.8,27,59.9113,0.0664062,0,
0.378471,7224.16,27,60.4267,0.0429688,0,
0.379694,7224.16,27,60.4267,0.0429688,0,
0.400464,7225.49,27,60.6476,0.0546875,0,
0.401692,7225.49,27,60.6476,0.0546875,0,
0.422573,7226.85,27,61.5066,0.0273438,0,
0.423669,7226.85,27,61.5066,0.0273438,0,
0.444626,7228.23,27,62.6602,0.0078125,0,
0.445666,7228.23,27,62.6602,0.0078125,0,
0.46649,7229.65,27,64.231,-0.0117188,0,
0.467718,7229.65,27,64.231,-0.0117188,0,
0.488502,7231.06,27,64.2801,-0.0234375,0,
0.48972,7231.06,27,64.2801,-0.0234375,0,
0.510494,7232.49,27,64.5992,-0.0273438,0,
0.511705,7232.49,27,64.5992,-0.0273438,0,
0.533844,7232.49,27,64.5992,-0.0273438,0,
0.5546,7235.33,27,64.8691,-0.0351562,0,
0.555661,7235.33,27,64.8691,-0.0351562,0,
0.576596,7236.76,27,65.1146,-0.0390625,0,
0.577661,7236.76,27,65.1146,-0.0390625,0,
0.598485,7238.16,27,64.0101,-0.0078125,0,
0.599733,7238.16,27,64.0101,-0.0078125,0,
0.620475,7239.55,27,63.5929,-0.0078125,0,
0.621699,7239.55,27,63.5929,-0.0078125,0,
0.642475,7240.91,27,61.4085,0.0351562,0,
0.643696,7240.91,27,61.4085,0.0351562,0,
0.664643,7242.28,27,60.9421,0.0351562,0,
0.665687,7242.28,27,60.9421,0.0351562,0,
0.686619,7243.6,27,60.844,0.0507812,0,
0.687655,7243.6,27,60.844,0.0507812,0,
0.708348,7244.91,27,59.5186,0.0742188,0,
0.709654,7244.91,27,59.5186,0.0742188,0,
0.73051,7246.21,27,58.9786,0.0859375,0,
0.73172,7246.21,27,58.9786,0.0859375,0,
0.752525,7247.47,27,58.0214,0.109375,0,
0.753714,7247.47,27,58.0214,0.109375,0,
0.774472,7248.73,27,57.4078,0.121094,0,
0.775696,7248.73,27,57.4078,0.121094,0,
0.797751,7248.73,27,57.4078,0.121094,0,
0.819785,7248.73,27,57.4078,0.121094,0,
0.840485,7252.46,27,55.9843,0.125,0,
0.841645,7252.46,27,55.9843,0.125,0,
0.862467,7253.67,27,55.7143,0.15625,0,
0.863715,7253.67,27,55.7143,0.15625,0,
0.884503,7254.91,27,55.8861,0.140625,0,
0.885698,7254.91,27,55.8861,0.140625,0,
0.907785,7254.91,27,55.8861,0.140625,0,
0.929751,7254.91,27,55.8861,0.140625,0,
0.9518,7258.72,27,57.0151,0.140625,0,
0.953692,7258.72,27,57.0151,0.140625,0,
0.975775,7258.72,27,57.0151,0.140625,0,
0.997752,7258.72,27,57.0151,0.140625,0,
1.01852,7262.6,27,59.2977,0.0898438,0,
1.01964,7262.6,27,59.2977,0.0898438,0,
1.0405,7263.94,27,60.6231,0.0429688,0,
1.04165,7263.94,27,60.6231,0.0429688,0,
1.06247,7265.26,27,60.6967,0.0585938,0,
1.06369,7265.26,27,60.6967,0.0585938,0,
1.08574,7265.26,27,60.6967,0.0585938,0,
1.10773,7265.26,27,60.6967,0.0585938,0,
1.12853,7269.42,27,63.7892,-0.00390625,0,
1.12964,7269.42,27,63.7892,-0.00390625,0,
1.15045,7270.84,27,64.8446,-0.0390625,0,
1.15166,7270.84,27,64.8446,-0.0390625,0,
1.17247,7272.25,27,64.5255,-0.0273438,0,
1.17363,7272.25,27,64.5255,-0.0273438,0,
1.19453,7273.7,27,64.771,-0.0234375,0,
1.19571,7273.77,27,64.8937,-0.0351562,0,
1.19789,7273.9,27,64.9428,-0.0429688,0,
1.19969,7273.9,27,64.9428,-0.0429688,0,
1.22197,7275.45,27,64.501,-0.0195312,0,
1.22364,7275.45,27,64.501,-0.0195312,0,
1.24437,7276.91,27,65.2618,-0.0390625,0,
1.24569,7276.91,27,65.2618,-0.0390625,0,
1.26774,7276.91,27,65.2618,-0.0390625,0,
1.28972,7276.91,27,65.2618,-0.0390625,0,
1.31051,7281.08,27,62.243,0.0078125,0,
1.31165,7281.08,27,62.243,0.0078125,0,
1.33248,7282.41,27,61.1139,0.0273438,0,
1.33363,7282.41,27,61.1139,0.0273438,0,
1.35446,7283.75,27,60.2794,0.0585938,0,
1.35564,7283.75,27,60.2794,0.0585938,0,
1.3765,7285.05,27,59.4204,0.09375,0,
1.37763,7285.05,27,59.4204,0.09375,0,
1.39836,7286.34,27,58.4141,0.0859375,0,
1.39968,7286.34,27,58.4141,0.0859375,0,
1.42173,7286.34,27,58.4141,0.0859375,0,
1.44374,7286.34,27,58.4141,0.0859375,0,
1.46452,7290.13,27,56.966,0.136719,0,
1.46565,7290.13,27,56.966,0.136719,0,
1.48645,7291.37,27,56.3525,0.15625,0,
1.48762,7291.37,27,56.3525,0.15625,0,
1.50848,7292.6,27,56.0579,0.148438,0,
1.50962,7292.6,27,56.0579,0.148438,0,
1.53038,7293.81,27,55.248,0.164062,0,
1.53161,7293.81,27,55.248,0.164062,0,
1.55235,7295.03,27,55.9598,0.136719,0,
1.55366,7295.11,27,56.2543,0.167969,0,
1.55561,7295.11,27,56.2543,0.167969,0,
1.57637,7296.39,27,56.5243,0.125,0,
1.5776,7296.39,27,56.5243,0.125,0,
1.5984,7297.63,27,56.7452,0.148438,0,
1.59961,7297.71,27,56.9415,0.140625,0,
1.60162,7297.71,27,56.9415,0.140625,0,
1.62246,7298.99,27,57.0397,0.125,0,
1.62362,7298.99,27,57.0397,0.125,0,
1.64438,7300.25,27,57.776,0.121094,0,
1.6456,7300.33,27,58.046,0.117188,0,
1.64763,7300.33,27,58.046,0.117188,0,
1.66845,7301.67,27,59.4204,0.0742188,0,
1.66963,7301.67,27,59.4204,0.0742188,0,
1.69048,7302.98,27,60.1567,0.0585938,0,
1.69162,7302.98,27,60.1567,0.0585938,0,
1.71238,7304.3,27,60.7212,0.0546875,0,
1.71359,7304.3,27,60.7212,0.0546875,0,
1.73435,7305.64,27,60.5249,0.0585938,0,
1.73558,7305.64,27,60.5249,0.0585938,0,
1.75635,7307.01,27,62.6357,0.00390625,0,
1.75766,7307.01,27,62.6357,0.00390625,0,
1.77849,7308.43,27,64.1328,-0.0117188,0,
1.77963,7308.43,27,64.1328,-0.0117188,0,
1.80047,7309.83,27,64.0837,-0.0117188,0,
1.80162,7309.83,27,64.0837,-0.0117188,0,
1.82247,7311.25,27,64.5255,-0.0390625,0,
1.82362,7311.25,27,64.5255,-0.0390625,0,
1.84433,7312.66,27,64.5255,-0.0117188,0,
1.84559,7312.66,27,64.5255,-0.0117188,0,
1.86633,7314.07,27,64.6728,-0.0273438,0,
1.86758,7314.07,27,64.6728,-0.0273438,0,
1.88834,7315.5,27,64.8446,-0.0390625,0,
1.88957,7315.5,27,64.8446,-0.0390625,0,
1.91033,7316.92,27,64.9919,-0.0273438,0,
1.91163,7316.92,27,64.9919,-0.0273438,0,
1.93246,7318.34,27,64.0837,-0.0117188,0,
1.93361,7318.34,27,64.0837,-0.0117188,0,
1.95444,7319.71,27,62.1693,0.0078125,0,
1.9556,7319.71,27,62.1693,0.0078125,0,
1.97636,7321.07,27,61.8993,0.0117188,0,
1.97759,7321.07,27,61.8993,0.0117188,0,
1.99836,7322.4,27,60.8685,0.0585938,0,
1.99959,7322.4,27,60.8685,0.0585938,0,
2.02033,7323.74,27,60.6967,0.0585938,0,
2.02156,7323.74,27,60.6967,0.0585938,0,
2.04231,7325.04,27,59.6904,0.0820312,0,
2.04357,7325.04,27,59.6904,0.0820312,0,
2.06445,7326.33,27,58.6105,0.101562,0,
2.06561,7326.33,27,58.6105,0.101562,0,
2.08654,7327.61,27,57.5551,0.101562,0,
2.08761,7327.61,27,57.5551,0.101562,0,
2.10837,7328.83,27,56.2788,0.140625,0,
2.1096,7328.83,27,56.2788,0.140625,0,
2.13032,7330.08,27,56.9906,0.121094,0,
2.13157,7330.08,27,56.9906,0.121094,0,
2.15235,7331.33,27,56.8188,0.140625,0,
2.15356,7331.33,27,56.8188,0.140625,0,
2.17453,7332.56,27,56.107,0.148438,0,
2.17557,7332.56,27,56.107,0.148438,0,
2.19644,7333.79,27,55.9352,0.140625,0,
2.19761,7333.79,27,55.9352,0.140625,0,
2.21838,7335.02,27,55.5425,0.164062,0,
2.21961,7335.02,27,55.5425,0.164062,0,
2.24035,7336.25,27,56.6224,0.121094,0,
2.24157,7336.25,27,56.6224,0.121094,0,
2.26238,7337.49,27,56.7206,0.121094,0,
2.26357,7337.49,27,56.7206,0.121094,0,
2.28434,7338.74,27,57.0642,0.132812,0,
2.28555,7338.74,27,57.0642,0.132812,0,
2.30648,7340.02,27,57.9478,0.109375,0,
2.3076,7340.02,27,57.9478,0.109375,0,
2.32839,7341.3,27,58.4878,0.105469,0,
2.32961,7341.3,27,58.4878,0.105469,0,
2.35035,7342.6,27,59.8867,0.0703125,0,
2.35158,7342.6,27,59.8867,0.0703125,0,
2.37236,7343.93,27,60.3285,0.0546875,0,
2.3736,7343.93,27,60.3285,0.0546875,0,
2.39437,7345.27,27,61.5312,0.0429688,0,
2.39558,7345.27,27,61.5312,0.0429688,0,
