Time Elapsed, motor.Pos, motor.Temp, motor.W, motor.T, motor.MError
1e-07,1035.21,26,0.147262,0,0,
0.00167814,1035.21,26,0.147262,0,0,
0.0224598,1035.29,26,4.29516,0.167969,0,
0.0236252,1035.29,26,4.29516,0.167969,0,
0.0443899,1035.49,26,9.22845,0.0664062,0,
0.045669,1035.51,26,9.59661,0.0664062,0,
0.047595,1035.51,26,9.59661,0.0664062,0,
0.0684726,1035.75,26,11.2901,0.0273438,0,
0.0696084,1035.75,26,11.2901,0.0273438,0,
0.0904025,1035.97,26,9.54752,0.0546875,0,
0.0919086,1035.98,26,9.57206,0.0546875,0,
0.0936104,1035.98,26,9.57206,0.0546875,0,
0.114275,1036.2,26,10.3084,0.0507812,0,
0.11561,1036.2,26,10.3084,0.0507812,0,
0.136428,1036.4,26,9.20391,0.0585938,0,
0.138045,1036.42,26,9.57206,0.0546875,0,
0.139558,1036.42,26,9.57206,0.0546875,0,
0.160322,1036.63,26,9.32662,0.0664062,0,
0.161607,1036.63,26,9.32662,0.0664062,0,
0.182462,1036.83,26,9.00756,0.0703125,0,
0.183658,1036.83,26,9.00756,0.0703125,0,
0.204599,1037.02,26,8.49214,0.0742188,0,
0.205648,1037.03,26,8.51668,0.0703125,0,
0.207565,1037.03,26,8.51668,0.0703125,0,
0.228542,1037.24,26,8.86029,0.0703125,0,
0.229592,1037.24,26,8.86029,0.0703125,0,
0.250344,1037.44,26,9.30208,0.0664062,0,
0.251606,1037.44,26,9.30208,0.0664062,0,
0.272331,1037.63,26,8.83575,0.0859375,0,
0.273606,1037.63,26,8.83575,0.0859375,0,
0.294363,1037.81,26,8.05035,0.0898438,0,
0.295605,1037.81,26,8.05035,0.0898438,0,
0.316378,1037.99,26,8.41851,0.09375,0,
0.317604,1037.99,26,8.41851,0.09375,0,
0.338354,1038.18,26,9.0321,0.0742188,0,
0.339662,1038.18,26,9.0321,0.0742188,0,
0.360497,1038.36,26,8.83575,0.0703125,0,
0.361657,1038.36,26,8.83575,0.0703125,0,
0.382504,1038.54,26,8.12398,0.09375,0,
0.383654,1038.54,26,8.12398,0.09375,0,
0.404485,1038.7,26,7.68219,0.0859375,0,
0.405652,1038.7,26,7.68219,0.0859375,0,
0.42649,1038.88,26,8.12398,0.0898438,0,
0.427643,1038.88,26,8.12398,0.0898438,0,
0.448459,1039.06,26,8.22216,0.0859375,0,
0.44964,1039.06,26,8.22216,0.0859375,0,
0.470479,1039.23,26,7.97672,0.0898438,0,
0.471636,1039.23,26,7.97672,0.0898438,0,
0.493749,1039.4,26,7.58402,0.09375,0,
0.495593,1039.4,26,7.58402,0.09375,0,
0.516376,1039.57,26,7.53493,0.09375,0,
0.517589,1039.57,26,7.53493,0.09375,0,
0.538496,1039.74,26,7.92763,0.09375,0,
0.53965,1039.74,26,7.92763,0.09375,0,
0.560476,1039.91,26,7.82946,0.0898438,0,
0.561646,1039.91,26,7.82946,0.0898438,0,
0.582484,1040.07,26,7.41221,0.101562,0,
0.583644,1040.07,26,7.41221,0.101562,0,
0.604484,1040.22,26,7.01951,0.117188,0,
0.605639,1040.22,26,7.01951,0.117188,0,
0.626493,1040.37,26,6.94588,0.109375,0,
0.627624,1040.37,26,6.94588,0.109375,0,
0.648449,1040.53,26,7.55947,0.101562,0,
0.649624,1040.53,26,7.55947,0.101562,0,
0.670479,1040.7,26,7.48584,0.0898438,0,
0.671613,1040.7,26,7.48584,0.0898438,0,
0.692403,1040.86,26,7.24041,0.09375,0,
0.693609,1040.86,26,7.24041,0.09375,0,
0.714384,1041.01,26,7.0686,0.117188,0,
0.7156,1041.01,26,7.0686,0.117188,0,
0.736377,1041.16,26,6.92134,0.105469,0,
0.737602,1041.16,26,6.92134,0.105469,0,
0.75836,1041.32,26,7.31404,0.105469,0,
0.759596,1041.32,26,7.31404,0.105469,0,
0.780379,1041.48,26,7.43676,0.101562,0,
0.781591,1041.48,26,7.43676,0.101562,0,
0.802357,1041.64,26,7.26495,0.105469,0,
0.803582,1041.64,26,7.26495,0.105469,0,
0.824535,1041.79,26,6.84771,0.117188,0,
0.82558,1041.79,26,6.84771,0.117188,0,
0.846354,1041.93,26,6.52864,0.132812,0,
0.847579,1041.93,26,6.52864,0.132812,0,
0.868373,1042.07,26,6.74953,0.109375,0,
0.869572,1042.07,26,6.74953,0.109375,0,
0.890356,1042.22,26,7.19132,0.109375,0,
0.891575,1042.22,26,7.19132,0.109375,0,
0.912351,1042.37,26,6.92134,0.109375,0,
0.91358,1042.37,26,6.92134,0.109375,0,
0.934476,1042.52,26,6.72499,0.117188,0,
0.935567,1042.52,26,6.72499,0.117188,0,
0.956501,1042.66,26,6.60227,0.121094,0,
0.957571,1042.66,26,6.60227,0.121094,0,
0.978517,1042.8,26,6.47955,0.121094,0,
0.979573,1042.8,26,6.47955,0.121094,0,
1.00049,1042.94,26,6.62681,0.121094,0,
1.00157,1042.94,26,6.62681,0.121094,0,
1.02247,1043.09,26,6.60227,0.125,0,
1.02355,1043.09,26,6.60227,0.125,0,
1.04446,1043.23,26,6.52864,0.125,0,
1.04555,1043.23,26,6.52864,0.125,0,
1.06647,1043.37,26,6.43046,0.132812,0,
1.06755,1043.37,26,6.43046,0.132812,0,
1.0884,1043.5,26,6.20957,0.121094,0,
1.08961,1043.5,26,6.20957,0.121094,0,
1.11037,1043.63,26,6.08685,0.125,0,
1.1116,1043.63,26,6.08685,0.125,0,
1.13226,1043.77,26,6.33229,0.121094,0,
1.13357,1043.77,26,6.33229,0.121094,0,
1.15428,1043.9,26,6.2832,0.125,0,
1.15556,1043.9,26,6.2832,0.125,0,
1.17625,1044.04,26,6.13594,0.125,0,
1.17755,1044.04,26,6.13594,0.125,0,
1.19828,1044.16,26,5.91504,0.132812,0,
1.19954,1044.16,26,5.91504,0.132812,0,
1.22024,1044.29,26,5.93959,0.125,0,
1.22155,1044.29,26,5.93959,0.125,0,
1.24226,1044.42,26,5.96413,0.132812,0,
1.24354,1044.42,26,5.96413,0.132812,0,
1.26425,1044.55,26,5.93959,0.121094,0,
1.26552,1044.55,26,5.93959,0.121094,0,
1.28626,1044.68,26,5.91504,0.136719,0,
1.28752,1044.68,26,5.91504,0.136719,0,
1.30823,1044.8,26,5.62052,0.148438,0,
1.30952,1044.8,26,5.62052,0.148438,0,
1.3304,1044.92,26,5.86596,0.148438,0,
1.33151,1044.92,26,5.86596,0.148438,0,
1.35239,1045.04,26,5.57143,0.140625,0,
1.35351,1045.04,26,5.57143,0.140625,0,
1.37439,1045.17,26,5.91504,0.132812,0,
1.37551,1045.17,26,5.91504,0.132812,0,
1.39639,1045.3,26,6.01322,0.121094,0,
1.39751,1045.3,26,6.01322,0.121094,0,
1.41838,1045.43,26,6.11139,0.132812,0,
1.41949,1045.43,26,6.11139,0.132812,0,
1.44038,1045.56,26,5.84141,0.125,0,
1.44148,1045.56,26,5.84141,0.125,0,
1.46213,1045.68,26,5.91504,0.125,0,
1.46348,1045.68,26,5.91504,0.125,0,
1.48413,1045.82,26,6.23411,0.125,0,
1.48548,1045.82,26,6.23411,0.125,0,
1.50627,1045.95,26,5.96413,0.125,0,
1.50747,1045.95,26,5.96413,0.125,0,
1.52823,1046.07,26,5.84141,0.136719,0,
1.52947,1046.07,26,5.84141,0.136719,0,
1.55028,1046.21,26,6.2832,0.121094,0,
1.55147,1046.21,26,6.2832,0.121094,0,
1.57224,1046.35,26,6.55318,0.121094,0,
1.57347,1046.35,26,6.55318,0.121094,0,
1.59426,1046.49,26,6.60227,0.125,0,
1.59553,1046.49,26,6.60227,0.125,0,
1.61625,1046.63,26,6.43046,0.105469,0,
1.61753,1046.63,26,6.43046,0.105469,0,
1.63825,1046.77,26,6.25866,0.125,0,
1.63952,1046.77,26,6.25866,0.125,0,
1.66025,1046.9,26,6.11139,0.121094,0,
1.66151,1046.9,26,6.11139,0.121094,0,
1.68355,1046.9,26,6.11139,0.121094,0,
1.70553,1046.9,26,6.11139,0.121094,0,
1.72754,1046.9,26,6.11139,0.121094,0,
1.74952,1046.9,26,6.11139,0.121094,0,
1.77161,1046.9,26,6.11139,0.121094,0,
1.79359,1046.9,26,6.11139,0.121094,0,
1.81558,1046.9,26,6.11139,0.121094,0,
1.83628,1048.03,26,6.77408,0.109375,0,
1.83747,1048.03,26,6.77408,0.109375,0,
1.85812,1048.17,26,6.57772,0.121094,0,
1.85947,1048.17,26,6.57772,0.121094,0,
1.88023,1048.31,26,6.35683,0.125,0,
1.88146,1048.31,26,6.35683,0.125,0,
1.90227,1048.44,26,5.76778,0.136719,0,
1.90346,1048.44,26,5.76778,0.136719,0,
1.92423,1048.57,26,5.98868,0.136719,0,
1.92547,1048.57,26,5.98868,0.136719,0,
1.94628,1048.71,26,6.74953,0.121094,0,
1.94745,1048.71,26,6.74953,0.121094,0,
1.96824,1048.87,26,7.09314,0.105469,0,
1.96945,1048.87,26,7.09314,0.105469,0,
1.99025,1049.02,26,6.94588,0.117188,0,
1.99145,1049.02,26,6.94588,0.117188,0,
2.01223,1049.16,26,6.6759,0.125,0,
2.01345,1049.16,26,6.6759,0.125,0,
2.03415,1049.3,26,6.33229,0.121094,0,
2.03552,1049.3,26,6.33229,0.121094,0,
2.05753,1049.3,26,6.33229,0.121094,0,
2.07953,1049.3,26,6.33229,0.121094,0,
