Time Elapsed, motor.Pos, motor.Temp, motor.W, motor.T, motor.MError
0.0209721,3781.56,27,17.5242,0.480469,0,
0.0227356,3781.56,27,17.5242,0.480469,0,
0.0436369,3781.56,27,17.5242,0.480469,0,
0.0645669,3781.56,27,17.5242,0.480469,0,
0.0855005,3784.18,27,41.0862,0.0664062,0,
0.0867269,3784.18,27,41.0862,0.0664062,0,
0.10748,3785.03,27,39.1473,0.105469,0,
0.108711,3785.03,27,39.1473,0.105469,0,
0.130029,3785.03,27,39.1473,0.105469,0,
0.150966,3786.71,27,38.2637,0.121094,0,
0.152704,3786.71,27,38.2637,0.121094,0,
0.173619,3787.57,27,38.6073,0.117188,0,
0.174768,3787.57,27,38.6073,0.117188,0,
0.195627,3788.4,27,37.7974,0.132812,0,
0.196757,3788.45,27,37.8219,0.125,0,
0.198713,3788.45,27,37.8219,0.125,0,
0.219504,3789.31,27,37.4538,0.125,0,
0.220709,3789.31,27,37.4538,0.125,0,
0.242504,3789.31,27,37.4538,0.125,0,
0.263371,3790.93,27,36.6438,0.148438,0,
0.264707,3790.93,27,36.6438,0.148438,0,
0.285601,3791.74,27,37.1347,0.152344,0,
0.286695,3791.74,27,37.1347,0.152344,0,
0.307622,3792.57,27,37.6256,0.125,0,
0.308754,3792.57,27,37.6256,0.125,0,
0.329483,3793.39,27,37.6256,0.148438,0,
0.330748,3793.39,27,37.6256,0.148438,0,
0.351473,3794.21,27,37.4292,0.132812,0,
0.352688,3794.21,27,37.4292,0.132812,0,
0.373502,3795.04,27,37.6992,0.132812,0,
0.374734,3795.04,27,37.6992,0.132812,0,
0.39548,3795.87,27,37.8955,0.132812,0,
0.396724,3795.87,27,37.8955,0.132812,0,
0.417487,3796.71,27,38.0674,0.121094,0,
0.418718,3796.71,27,38.0674,0.121094,0,
0.439575,3797.56,27,38.1901,0.121094,0,
0.440693,3797.56,27,38.1901,0.121094,0,
0.46147,3798.42,27,39.0737,0.105469,0,
0.462705,3798.42,27,39.0737,0.105469,0,
0.484811,3798.42,27,39.0737,0.105469,0,
0.505572,3800.18,27,40.0063,0.0820312,0,
0.506631,3800.18,27,40.0063,0.0820312,0,
0.527582,3801.09,27,41.1353,0.0390625,0,
0.528645,3801.09,27,41.1353,0.0390625,0,
0.549584,3802.03,27,42.3871,0.0351562,0,
0.550646,3802.03,27,42.3871,0.0351562,0,
0.571495,3802.96,27,42.7061,0.0273438,0,
0.572705,3802.96,27,42.7061,0.0273438,0,
0.593488,3803.9,27,43.1234,0.0117188,0,
0.594718,3803.9,27,43.1234,0.0117188,0,
0.615466,3804.86,27,43.8597,0.00390625,0,
0.616689,3804.86,27,43.8597,0.00390625,0,
0.637455,3805.84,27,44.6696,-0.00390625,0,
0.638686,3805.84,27,44.6696,-0.00390625,0,
0.659471,3806.8,27,44.3751,0.00390625,0,
0.660953,3806.88,27,44.4487,0.0078125,0,
0.662617,3806.88,27,44.4487,0.0078125,0,
0.683347,3807.88,27,45.6759,-0.0273438,0,
0.684635,3807.88,27,45.6759,-0.0273438,0,
0.705412,3808.91,27,46.4613,-0.0390625,0,
0.706673,3808.91,27,46.4613,-0.0390625,0,
0.727454,3809.91,27,46.0441,-0.0273438,0,
