Time Elapsed, motor.Pos, motor.Temp, motor.W, motor.T, motor.MError
9e-08,3303.53,27,0.147262,-0.00390625,0,
0.00134761,3303.53,27,0.147262,-0.00390625,0,
0.0220467,3303.89,27,16.7388,0.398438,0,
0.0232847,3303.89,27,16.7388,0.398438,0,
0.0439999,3304.61,27,32.6677,0.109375,0,
0.0453581,3304.61,27,32.6677,0.109375,0,
0.0673892,3304.61,27,32.6677,0.109375,0,
0.0881398,3306.2,27,35.6866,0.0429688,0,
0.0893389,3306.2,27,35.6866,0.0429688,0,
0.109994,3306.92,27,33.8949,0.0703125,0,
0.111322,3306.92,27,33.8949,0.0703125,0,
0.133355,3306.92,27,33.8949,0.0703125,0,
0.154119,3308.35,27,32.9132,0.101562,0,
0.155333,3308.35,27,32.9132,0.101562,0,
0.176216,3309.06,27,32.4468,0.121094,0,
0.17734,3309.06,27,32.4468,0.121094,0,
0.198368,3309.76,27,31.5387,0.121094,0,
0.199303,3309.76,27,31.5387,0.121094,0,
0.220017,3310.44,27,31.3424,0.121094,0,
0.221284,3310.44,27,31.3424,0.121094,0,
0.241993,3311.14,27,31.8823,0.117188,0,
0.243284,3311.14,27,31.8823,0.117188,0,
0.264014,3311.83,27,31.3669,0.125,0,
0.265342,3311.83,27,31.3669,0.125,0,
0.286151,3312.51,27,30.5324,0.152344,0,
0.287338,3312.51,27,30.5324,0.152344,0,
0.308133,3313.18,27,30.287,0.136719,0,
0.309326,3313.18,27,30.287,0.136719,0,
0.330123,3313.85,27,30.8515,0.140625,0,
0.331323,3313.85,27,30.8515,0.140625,0,
0.352113,3314.54,27,31.4651,0.121094,0,
0.353306,3314.54,27,31.4651,0.121094,0,
0.37411,3315.22,27,31.6614,0.132812,0,
0.375305,3315.22,27,31.6614,0.132812,0,
0.396013,3315.92,27,31.7596,0.136719,0,
0.397291,3315.92,27,31.7596,0.136719,0,
0.418037,3316.61,27,31.2933,0.140625,0,
0.419291,3316.61,27,31.2933,0.140625,0,
0.439996,3317.29,27,31.4896,0.125,0,
0.441272,3317.29,27,31.4896,0.125,0,
0.461998,3317.99,27,31.8332,0.125,0,
0.463268,3317.99,27,31.8332,0.125,0,
0.483982,3318.69,27,32.1769,0.125,0,
0.485265,3318.69,27,32.1769,0.125,0,
0.505984,3319.4,27,32.4714,0.121094,0,
0.507329,3319.4,27,32.4714,0.121094,0,
0.528137,3320.12,27,33.0604,0.101562,0,
0.529321,3320.12,27,33.0604,0.101562,0,
0.550112,3320.85,27,33.8458,0.101562,0,
0.551311,3320.85,27,33.8458,0.101562,0,
0.572109,3321.59,27,33.9931,0.0820312,0,
0.573303,3321.59,27,33.9931,0.0820312,0,
0.594012,3322.34,27,34.1404,0.0859375,0,
0.595294,3322.34,27,34.1404,0.0859375,0,
0.616017,3323.1,27,34.5576,0.0820312,0,
0.617285,3323.1,27,34.5576,0.0820312,0,
0.638012,3323.87,27,35.5148,0.0429688,0,
0.63928,3323.87,27,35.5148,0.0429688,0,
0.659987,3324.65,27,35.8339,0.0351562,0,
0.661266,3324.65,27,35.8339,0.0351562,0,
0.681989,3325.46,27,37.0611,0.0234375,0,
0.683256,3325.46,27,37.0611,0.0234375,0,
0.703982,3326.27,27,37.3065,0.0195312,0,
0.705254,3326.27,27,37.3065,0.0195312,0,
0.726135,3327.1,27,37.5765,0.0117188,0,
0.727315,3327.1,27,37.5765,0.0117188,0,
0.74811,3327.93,27,38.4601,-0.0117188,0,
0.749309,3327.93,27,38.4601,-0.0117188,0,
0.77011,3328.77,27,38.73,-0.00390625,0,
0.771298,3328.77,27,38.73,-0.00390625,0,
0.792012,3329.61,27,39.2209,-0.00390625,0,
0.793289,3329.61,27,39.2209,-0.00390625,0,
0.814015,3330.48,27,40.3499,-0.0351562,0,
0.815274,3330.48,27,40.3499,-0.0351562,0,
0.835997,3331.35,27,40.399,-0.0351562,0,
0.837272,3331.35,27,40.399,-0.0351562,0,
0.857982,3332.23,27,40.4236,-0.0273438,0,
0.859263,3332.23,27,40.4236,-0.0273438,0,
0.879988,3333.09,27,40.8653,-0.0390625,0,
0.881256,3333.09,27,40.8653,-0.0390625,0,
0.901991,3333.97,27,40.8899,-0.0390625,0,
0.903253,3333.97,27,40.8899,-0.0390625,0,
0.924165,3334.84,27,40.5708,-0.0390625,0,
0.925253,3334.84,27,40.5708,-0.0390625,0,
0.946116,3335.7,27,39.6872,-0.0234375,0,
0.947237,3335.75,27,39.8836,-0.0351562,0,
0.949262,3335.75,27,39.8836,-0.0351562,0,
0.969981,3336.64,27,39.3191,-0.0429688,0,
0.971253,3336.64,27,39.3191,-0.0429688,0,
0.991984,3337.51,27,38.9509,-0.0351562,0,
0.99325,3337.51,27,38.9509,-0.0351562,0,
1.01413,3338.37,27,38.0428,-0.0195312,0,
1.01525,3338.37,27,38.0428,-0.0195312,0,
1.03611,3339.21,27,37.6747,-0.00390625,0,
1.03723,3339.21,27,37.6747,-0.00390625,0,
1.05811,3340.04,27,37.012,-0.00390625,0,
1.05924,3340.04,27,37.012,-0.00390625,0,
1.08001,3340.86,27,36.6438,0.00390625,0,
1.08129,3340.86,27,36.6438,0.00390625,0,
1.10202,3341.66,27,36.1284,0.0117188,0,
1.10329,3341.66,27,36.1284,0.0117188,0,
1.12401,3342.45,27,35.8584,0.0351562,0,
1.12527,3342.45,27,35.8584,0.0351562,0,
1.14599,3343.25,27,35.932,0.0234375,0,
1.14726,3343.25,27,35.932,0.0234375,0,
1.168,3344.02,27,35.0485,0.0664062,0,
1.16925,3344.02,27,35.0485,0.0664062,0,
1.18998,3344.77,27,34.3858,0.0859375,0,
1.19125,3344.77,27,34.3858,0.0859375,0,
1.21213,3345.53,27,33.8704,0.0664062,0,
1.21325,3345.53,27,33.8704,0.0664062,0,
1.23411,3346.28,27,34.1404,0.0859375,0,
1.23523,3346.28,27,34.1404,0.0859375,0,
1.25611,3347.01,27,33.5268,0.0820312,0,
1.25721,3347.01,27,33.5268,0.0820312,0,
1.27803,3347.01,27,33.5268,0.0820312,0,
1.2991,3347.01,27,33.5268,0.0820312,0,
1.3199,3349.09,27,32.2259,0.117188,0,
1.32125,3349.14,27,32.5696,0.105469,0,
1.32332,3349.14,27,32.5696,0.105469,0,
1.34408,3349.85,27,31.6614,0.121094,0,
1.3453,3349.85,27,31.6614,0.121094,0,
1.36606,3350.54,27,31.4405,0.121094,0,
1.3673,3350.54,27,31.4405,0.121094,0,
1.38808,3351.24,27,31.2197,0.117188,0,
1.38931,3351.24,27,31.2197,0.117188,0,
1.41134,3351.24,27,31.2197,0.117188,0,
1.43341,3351.24,27,31.2197,0.117188,0,
1.45539,3351.24,27,31.2197,0.117188,0,
1.4774,3354.02,27,31.1951,0.140625,0,
