timestep,angular_velocity,torque
0.02,0.3628493163577964,0.0030660280698348308
0.04,0.7641018778012302,0.0024404713100968645
0.05999999999999999,1.080280924838463,0.0018848170322308816
0.08,1.321165563141802,0.0013961796680220934
0.10000000000000002,1.4960937763087176,0.0009711220860942199
0.12000000000000004,1.6138928577605203,0.0006058077705186766
0.14000000000000004,1.6828286878192815,0.00029610573535689827
0.16000000000000006,1.7105683151722957,3.766966311938291e-05
0.18000000000000008,1.7041531416438724,-0.00017399212645520523
0.2000000000000001,1.6699819918844487,-0.0003434464135443002
0.2200000000000001,1.6138043300178344,-0.000475261565695502
0.24000000000000013,1.5407240363424701,-0.0005739324080467068
0.2600000000000001,1.45521377382013,-0.0006438075208531485
0.28000000000000014,1.3611393522731101,-0.0006890235717348231
0.30000000000000016,1.261792871104723,-0.0007134505808798208
0.3200000000000002,1.1599329369085583,-0.0007206506379479616
0.3400000000000002,1.0578299776999154,-0.0007138510357815042
0.3600000000000002,0.9573146155913036,-0.0006959313960735319
0.3800000000000002,0.8598271800799491,-0.0006694233163346278
0.40000000000000024,0.7664666917947615,-0.0006365204199617475
0.42000000000000026,0.6780379659298968,-0.0005990964114329367
0.4400000000000003,0.5950958271777652,-0.0005587287508509731
0.4600000000000003,0.5179857570922805,-0.0005167257757914409
0.4800000000000003,0.44688058651749396,-0.00047415542848007475
0.5000000000000003,0.38181308739132613,-0.00043187412329775965
0.5200000000000004,0.32270450610735596,-0.0003905546632762269
0.5400000000000004,0.2693892170460881,-0.00035071245269754914
0.5600000000000004,0.2216357659128567,-0.00031272953932368064
0.5800000000000004,0.1791646259336717,-0.00027687624852107417
0.6000000000000004,0.1416630139211733,-0.00024333034438955847
0.6200000000000004,0.10879711537343818,-0.00021219377609810186
0.6400000000000005,0.08022205475197072,-0.0001835071491129714
0.6600000000000005,0.05558992434959697,-0.0001572621094906579
0.6800000000000005,0.03455615695086198,-0.00013341185296220087
0.7000000000000005,0.016784496959159966,-0.00011187997618952727
0.7200000000000005,0.0019507940355971364,-9.256788111813856e-05
0.7400000000000005,-0.010254185970606962,-7.536092931834104e-05
0.7600000000000006,-0.020122765039794266,-6.0133525019129275e-05
0.7800000000000006,-0.027929028510374425,-4.6753285639328235e-05
0.8000000000000006,-0.03392805016171914,-3.5084438682747576e-05
0.8200000000000006,-0.038355563590516395,-2.499056495544605e-05
0.8400000000000006,-0.04142799271256142,-1.6336790789189815e-05
0.8600000000000007,-0.04334276796342278,-8.991516616457808e-06
0.8800000000000007,-0.04427886644083172,-2.827755891388062e-06
0.9000000000000007,-0.04439752410956797,2.2758530714150904e-06
0.9200000000000007,-0.043843076540883076,6.434309437836072e-06
0.9400000000000007,-0.042743891722612753,9.75574157766057e-06
0.9600000000000007,-0.04121336446296382,1.2341090138368038e-05
0.9800000000000008,-0.03935094699997182,1.4283950067833784e-05
1.0000000000000007,-0.03724319477023318,1.5670543873885785e-05
1.0200000000000002,-0.03496481000891261,1.6579802329635962e-05
1.0399999999999998,-0.03257966904938007,1.7083532131451085e-05
1.0599999999999994,-0.030141821946954753,1.724665281063742e-05
1.079999999999999,-0.027696455432810217,1.7127487594442714e-05
1.0999999999999985,-0.025280812263865377,1.677809498046301e-05
1.119999999999998,-0.022925061814905452,1.6244629597705895e-05
1.1399999999999977,-0.020653118294698163,1.5567722521425686e-05
1.1599999999999973,-0.01848340428681733,1.4782872624963257e-05
1.1799999999999968,-0.0164295584419852,1.3920841818948482e-05
1.1999999999999964,-0.014501087102243179,1.3008048161816665e-05
1.219999999999996,-0.012703960435868297,1.2066951846467777e-05
1.2399999999999956,-0.011041154321457603,1.1116429982360737e-05
1.2599999999999951,-0.009513139754352692,1.017213691240082e-05
1.2799999999999947,-0.008118321971801143,9.246847532645708e-06
1.2999999999999943,-0.006853431817263522,8.350781732002769e-06
1.3199999999999938,-0.00571387210059215,7.4919086374414245e-06
1.3399999999999934,-0.004694021870243555,6.6762298459588365e-06
1.359999999999993,-0.003787501606348147,5.908041253888108e-06
1.3799999999999926,-0.0029874023788023308,5.190173456098848e-06
1.3999999999999921,-0.002286482001315751,4.524210997419731e-06
1.4199999999999917,-0.0016773311586201656,3.910691005110102e-06
1.4399999999999913,-0.0011525123972090541,3.349281940179251e-06
1.4599999999999909,-0.0007046747567167661,2.83894335881274e-06
1.4799999999999904,-0.00032664668537137683,2.378067698732833e-06
1.49999999999999,-1.1509734214973827e-05,1.96460518755992e-06
1.5199999999999896,0.00024734463434344326,1.5961730262248341e-06
1.5399999999999892,0.0004561729534946014,1.2701500282097378e-06
1.5599999999999887,0.0006208503725921753,9.837579010019137e-07
1.5799999999999883,0.0007468521574655968,7.341303457641946e-07
1.5999999999999879,0.0008392444020982845,5.183711203615715e-07
1.6199999999999875,0.0009026824441618746,3.336021746624951e-07
1.639999999999987,0.0009414156315756744,1.7700291535249768e-07
1.6599999999999866,0.0009592972345449062,4.584160134823989e-08
1.6799999999999862,0.0009597984365156386,-6.250018910747279e-08
1.6999999999999857,0.0009460254675702798,-1.5050914473069277e-07
1.7199999999999853,0.0009207390645923115,-2.2052705142550089e-07
1.739999999999985,0.0008863755539061521,-2.747421232185411e-07
1.7599999999999845,0.000845068954050281,-3.151841577730963e-07
1.779999999999984,0.0007986735890251017,-3.437229026403976e-07
1.7999999999999836,0.0007487867860370308,-3.620690826322548e-07
1.8199999999999832,0.0006967713067941256,-3.7177759540374405e-07
1.8399999999999828,0.0006437772282231237,-3.742524399275027e-07
1.8599999999999823,0.0005907630475404246,-3.70752994860446e-07
